                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Samuel Basallo*                  c   20  .165  .229  .330 109  18   6   0   4  10  15   3   6  30   0   0 
Bryce Eldridge*                  dh  20  .107  .297  .179  28   3   2   0   0   1   4   1   7  13   0   0 
Roman Anthony*                   rf  21  .292  .396  .463 257  75  18   1   8  48  32   5  40  84   4   1 
Moises Ballesteros*              dh  21  .298  .394  .474  57  17   2   1   2  12  11   0   9  12   0   0 
Denzer Guzman                    ss  21  .190  .209  .357  42   8   1   0   2   4   3   0   1  22   0   0 
Carter Jensen*                   dh  21  .300  .391  .550  60  18   6   0   3  12  13   0   9  12   0   0 
Sal Stewart                      1b  21  .255  .293  .545  55  14   1   0   5  11   8   0   3  15   0   0 
Cole Young*                      2b  21  .211  .302  .305 223  47   7   1   4  24  24   2  28  47   1   0 
Maximo Acosta                    3b  22  .204  .295  .389  54  11   1   0   3   7   5   1   6  17   1   2 
Jac Caglianone*                  rf  22  .157  .237  .295 210  33   6   1   7  19  18   4  18  52   1   0 
Owen Caissie*                    rf  22  .192  .222  .346  26   5   1   0   1   4   4   0   1  11   0   0 
Yanquiel Fernandez*              dh  22  .225  .265  .348 138  31   5   0   4  13  11   0   8  44   0   0 
Harry Ford                       c   22  .167  .250  .167   6   1   0   0   0   1   1   1   0   3   0   0 
Jhostynxon Garcia                rf  22  .143  .333  .286   7   1   1   0   0   0   0   0   2   5   0   0 
Brady House                      3b  22  .234  .252  .322 261  61  11   0   4  26  29   0   8  78   5   3 
Kyle Karros                      3b  22  .226  .308  .277 137  31   4   0   1  20   9   2  15  41   0   0 
Luke Keaschall                   2b  22  .302  .382  .445 182  55  14   0   4  25  28   5  19  29  14   3 
Nick Kurtz*                      1b  22  .290  .383  .619 420 122  26   2  36  90  86   2  63 151   2   1 
Daylen Lile*                     rf  22  .299  .347  .498 321  96  15  11   9  51  41   4  21  56   8   6 
Marcelo Mayer*                   3b  22  .228  .272  .402 127  29   8   1   4  20  10   0   8  41   0   2 
Christian Moore                  2b  22  .198  .284  .370 162  32   5   1   7  20  16   1  19  62   3   0 
Max P. Muncy                     3b  22  .214  .259  .379 206  44   7   0   9  17  23   3  10  68   1   1 
Alejandro Osuna*                 lf  22  .212  .313  .278 151  32   4   0   2  12  15   2  21  34   5   4 
Edgar Quero#                     c   22  .268  .333  .356 365  98  17   0   5  31  36   4  32  71   0   1 
Cam Smith                        rf  22  .236  .312  .358 441 104  21   3   9  55  51   7  43 137   8   1 
Carson Williams                  ss  22  .172  .219  .354  99  17   3   0   5  11  12   0   6  44   2   1 
Dylan Beavers*                   lf  23  .227  .375  .400 110  25   5   1   4  16  14   0  26  36   2   2 
Warming Bernabel                 1b  23  .252  .288  .410 139  35   8   1   4  15  14   0   7  25   1   1 
Kristian Campbell                2b  23  .223  .319  .345 229  51  10   0   6  24  21   4  29  72   2   1 
Tsung-Che Cheng*                 ss  23  .000  .000  .000   7   0   0   0   0   0   0   0   0   3   0   1 
Jonatan Clase#                   lf  23  .210  .288  .300 100  21   3   0   2  10   9   1  10  28   3   1 
Jimmy Crooks*                    c   23  .133  .152  .244  45   6   0   1   1   3   1   1   0  17   0   0 
Alex Freeland#                   3b  23  .190  .292  .310  84  16   2   1   2  10   6   1  11  35   1   0 
Petey Halpin*                    cf  23  .333  .500  .333   6   2   0   0   0   5   0   0   2   2   0   0 
Robert Hassell*                  cf  23  .223  .257  .315 197  44   9   0   3  22  18   1   8  62   4   0 
C.J. Kayfus*                     rf  23  .220  .292  .415 123  27  10   1   4  16  19   2  11  38   4   0 
Luis Matos                       rf  23  .221  .266  .424 172  38   9   1   8  26  22   0  11  27   4   0 
Brice Matthews                   2b  23  .167  .222  .452  42   7   0   0   4   6   9   1   2  20   1   0 
Chase Meidroth                   ss  23  .253  .329  .320 450 114  15   0   5  54  23   6  45  72  14   4 
Victor Mesa*                     rf  23  .188  .297  .344  32   6   2   0   1   7   6   0   5   5   0   0 
Colson Montgomery*               ss  23  .239  .311  .529 255  61   9   1  21  43  55   2  25  83   0   0 
Kyren Paris                      cf  23  .190  .266  .381 126  24   4   1   6  20  11   3  10  59   7   1 
Agustin Ramirez                  c   23  .231  .287  .413 537 124  33   1  21  72  67   8  36 113  16   3 
Bryan Ramos                      3b  23  .167  .167  .333  12   2   2   0   0   1   2   0   0   4   0   0 
Matt Shaw                        3b  23  .226  .295  .394 393  89  21   3  13  57  44   2  38  94  17   5 
Kyle Teel*                       c   23  .273  .375  .411 253  69  11   0   8  38  35   5  37  77   3   1 
Zac Veen*                        rf  23  .118  .189  .235  34   4   1   0   1   1   2   1   2  14   1   1 
Nick Yorke                       2b  23  .232  .264  .319  69  16   3   0   1   7   8   0   3  15   1   0 
Brooks Baldwin#                  lf  24  .240  .290  .407 300  72  15   1  11  32  38   1  21  86   5   0 
Drake Baldwin*                   c   24  .274  .341  .469 405 111  18   2  19  56  80   3  38  68   0   0 
Jorge Barrosa#                   cf  24  .141  .169  .225  71  10   3   0   1   8   7   1   2  22   0   0 
Tyler Black*                     1b  24  .250  .538  .375   8   2   1   0   0   1   1   0   5   1   0   1 
Nathan Church*                   cf  24  .179  .254  .250  56  10   1   0   1   9   8   3   3  18   1   0 
Zach Cole*                       rf  24  .255  .327  .553  47  12   2   0   4   9  11   0   5  20   3   0 
Rafael Flores                    1b  24  .200  .294  .333  15   3   2   0   0   0   0   0   2   7   0   0 
Cody Freeman                     2b  24  .228  .258  .342 114  26   4   0   3  13  15   0   5  19   1   1 
Drew Gilbert*                    rf  24  .190  .248  .350 100  19   5   1   3  12  13   1   7  20   1   1 
Leo Jimenez                      2b  24  .069  .129  .172  29   2   0   0   1   2   1   0   2   8   0   0 
Jace Jung*                       3b  24  .106  .236  .106  47   5   0   0   0   8   3   1   7  16   0   0 
Matthew Lugo                     cf  24  .232  .243  .464  69  16   2   1   4   9   9   1   0  24   0   0 
Jakob Marsee*                    cf  24  .292  .363  .478 209  61  18   3   5  28  33   2  22  48  14   6 
Ronny Mauricio#                  3b  24  .226  .293  .369 168  38   6   0   6  19  10   1  15  54   4   0 
Grant McCray*                    rf  24  .091  .160  .182  22   2   0   1   0   3   2   0   2  11   0   0 
Jacob Melton*                    cf  24  .157  .234  .186  70  11   0   1   0   7   7   1   6  29   7   2 
Graham Pauley*                   3b  24  .224  .311  .366 161  36   9   1   4  18  11   0  21  36   2   0 
Liover Peguero                   ss  24  .200  .273  .363  80  16   1   0   4   9   8   2   6  25   4   0 
Everson Pereira                  cf  24  .138  .219  .246  65   9   1   0   2   7   8   0   7  28   2   0 
Ryan Ritter                      ss  24  .241  .296  .337 187  45   9   3   1  22  18   5  10  61   3   1 
Johan Rojas                      cf  24  .224  .280  .289 152  34   3   2   1  23  18   0  13  40  12   2 
Dalton Rushing*                  c   24  .204  .258  .324 142  29   5   0   4  15  24   1  10  58   0   0 
Chandler Simpson*                cf  24  .295  .326  .345 414 122  15   3   0  53  26   0  20  43  44  12 
Colby Thomas                     rf  24  .225  .267  .417 120  27   5   0   6  20  19   1   7  49   2   1 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
George Valera*                   dh  24  .220  .333  .415  41   9   2   0   2   7   5   0   7  13   0   0 
Jorbit Vivas*                    2b  24  .161  .266  .250  56   9   2   0   1   6   5   3   5  13   0   0 
Ben Williamson                   3b  24  .253  .294  .310 277  70  13   0   1  36  21   1  15  64   5   1 
Jordyn Adams                     cf  25  .000  .000  .000   5   0   0   0   0   1   0   0   0   2   0   0 
Ji Hwan Bae*                     lf  25  .050  .240  .050  20   1   0   0   0   4   0   0   5   9   4   1 
Will Banfield                    c   25  .100  .100  .100  10   1   0   0   0   0   0   0   0   6   0   0 
Tyler Callihan*                  lf  25  .167  .167  .167   6   1   0   0   0   0   1   0   0   1   0   0 
Alexander Canario                lf  25  .218  .274  .338 216  47   6   1   6  25  20   0  17  80   3   1 
Denzel Clarke                    cf  25  .230  .274  .372 148  34   8   2   3  18   8   3   6  61   6   0 
Kenedy Corona                    cf  25  .000  .500  .000   2   0   0   0   0   0   0   0   2   1   0   0 
Henry Davis                      c   25  .167  .234  .278 252  42   7   0   7  25  22   5  18  76   2   1 
Zach Dezenzo                     lf  25  .245  .321  .367  98  24   6   0   2  17  10   0  11  37   1   0 
Caleb Durbin                     3b  25  .256  .334  .387 445 114  25   0  11  60  53  24  30  50  18   6 
Dustin Harris*                   lf  25  .200  .256  .350  40   8   3   0   1   5   2   0   3  13   1   1 
Heriberto Hernandez              lf  25  .266  .347  .438 256  68  12   1  10  40  45   3  31  77   1   1 
Jeremiah Jackson                 rf  25  .276  .328  .447 170  47  10   2   5  20  21   2  11  50   0   2 
Jarred Kelenic*                  rf  25  .167  .231  .300  60  10   2   0   2   7   2   0   5  23   0   1 
Otto Kemp                        3b  25  .234  .298  .411 197  46  11   0   8  26  28   7  12  67   2   2 
Trey Lipscomb                    3b  25  .500  .500  .500   4   2   0   0   0   1   0   0   0   1   0   0 
Justyn-Henry Malloy              dh  25  .221  .346  .308 104  23   6   0   1  15  17   1  20  32   0   0 
Jonathan Ornelas                 ss  25  .222  .300  .222   9   2   0   0   0   1   0   0   1   3   0   0 
Tirso Ornelas*                   lf  25  .071  .188  .071  14   1   0   0   0   0   1   0   2   2   0   0 
Oswald Peraza                    3b  25  .164  .223  .250 244  40   6   0   5  24  20   2  17  80   9   0 
Tristan Peters*                  cf  25  .000  .000  .000  12   0   0   0   0   0   0   0   0   7   0   0 
Alan Roden*                      lf  25  .191  .261  .294 136  26   6   1   2  17   9   6   8  37   1   1 
Johnathan Rodriguez              rf  25  .197  .260  .366  71  14   4   1   2   6  10   0   6  22   1   0 
Michael Siani*                   cf  25  .235  .316  .235  17   4   0   0   0   4   0   0   2   7   0   0 
Ronny Simon#                     2b  25  .234  .299  .273  77  18   3   0   0  10   7   0   8  15   1   0 
Trey Sweeney*                    ss  25  .196  .258  .291 296  58   6   2   6  36  32   0  26  92   3   1 
Rhylan Thomas*                   rf  25  .125  .200  .250   8   1   1   0   0   2   2   0   1   0   0   0 
Luis Vazquez                     ss  25  .160  .208  .240  50   8   1   0   1   6   3   0   3  14   2   0 
Gage Workman*                    3b  25  .188  .235  .250  16   3   1   0   0   0   2   0   1   7   1   0 
Jacob Amaya                      ss  26  .106  .139  .121  66   7   1   0   0   7   8   0   3  16   2   0 
Akil Baddoo*                     lf  26  .118  .167  .176  17   2   1   0   0   0   1   0   1   5   1   0 
Steward Berroa#                  cf  26  .000  .167  .000   5   0   0   0   0   0   0   0   1   2   1   0 
Luis Campusano                   dh  26  .000  .222  .000  21   0   0   0   0   0   0   0   6  11   0   0 
Dylan Carlson#                   lf  26  .203  .278  .336 217  44   9   1   6  17  20   2  21  54   3   3 
Andres Chaparro                  1b  26  .182  .247  .258  66  12   2   0   1   4   5   1   5  22   0   0 
Billy Cook                       cf  26  .333  .333  .333   6   2   0   0   0   1   0   0   0   1   0   0 
Jonny Deluca                     cf  26  .333  .356  .456  57  19   1   3   0   5   4   0   2  13   6   0 
Blake Dunn                       rf  26  .150  .320  .233  60   9   2   0   1  10   7   7   8  25   1   1 
Ezequiel Duran                   ss  26  .224  .266  .293 205  46  14   0   0  16  14   4   8  55  11   2 
Tim Elko                         1b  26  .134  .194  .328  67   9   1   0   4   6   8   0   5  30   1   0 
Jose Fermin                      2b  26  .283  .377  .417  60  17   5   0   1   5   9   1   8  10   2   2 
Justin Foscue                    1b  26  .111  .111  .222   9   1   1   0   0   0   2   0   0   3   0   0 
Braxton Fulford                  c   26  .213  .267  .324 108  23   5   2   1  11  16   2   7  36   1   0 
Liam Hicks*                      c   26  .247  .346  .346 332  82  13   1   6  37  45   9  43  56   2   0 
Niko Kavadas*                    1b  26  .100  .217  .100  20   2   0   0   0   0   0   0   3  10   0   0 
Buddy Kennedy                    3b  26  .069  .156  .103  29   2   1   0   0   2   1   1   2   8   0   0 
